census_id,CLSC_code,census_type
2401,11211,CD
2405,11112,CD
2406,11111,CD
2407,1181,CD
2408,1171,CD
2409,1161,CD
2410,1151,CD
2411,1141,CD
2412,1121,CD
2413,1131,CD
2414,1111,CD
2415,3142,CD
2416,3141,CD
2417,12152,CD
2418,12151,CD
2419,12114,CD
2420,3134,CD
2421,3134,CD
2427,12131,CD
2428,12141,CD
2429,12132,CD
2430,5191,CD
2431,12121,CD
2432,4182,CD
2433,12111,CD
2434,3111,CD
2435,4121,CD
2436,4141,CD
2438,4162,CD
2439,4181,CD
2440,5171,CD
2441,5181,CD
2442,5161,CD
2443,5151,CD
2444,5141,CD
2445,5131,CD
2447,5121,CD
2448,16223,CD
2449,4171,CD
2450,4161,CD
2452,14114,CD
2453,16231,CD
2454,16222,CD
2459,16213,CD
2460,14122,CD
2461,14113,CD
2462,14111,CD
2463,14112,CD
2464,14121,CD
2468,16343,CD
2469,16331,CD
2471,16311,CD
2472,15151,CD
2473,15171,CD
2475,15161,CD
2476,15141,CD
2477,15131,CD
2478,15121,CD
2479,15111,CD
2483,7121,CD
2484,7111,CD
2486,8131,CD
2487,8111,CD
2488,8121,CD
2489,8141,CD
2490,4111,CD
2491,2111,CD
2492,2121,CD
2496,9123,CD
2402010,11141,CSD
2402015,11141,CSD
2402028,11141,CSD
2402047,11141,CSD
2402902,11141,CSD
2403005,11132,CSD
2403010,11131,CSD
2403015,11131,CSD
2403020,11131,CSD
2403025,11133,CSD
2403902,11132,CSD
2403904,11132,CSD
2404005,11131,CSD
2404010,11121,CSD
2404015,11121,CSD
2404020,11121,CSD
2404025,11121,CSD
2404030,11121,CSD
2404037,11121,CSD
2404047,11121,CSD
2404902,11121,CSD
2404904,11121,CSD
2422005,3131,CSD
2422010,3131,CSD
2422015,3131,CSD
2422020,3131,CSD
2422025,3131,CSD
2422030,3132,CSD
2422035,3132,CSD
2422040,3132,CSD
2422045,3133,CSD
2422902,3132,CSD
2423015,3125,CSD
2423057,3121,CSD
2423072,3121,CSD
2423802,3131,CSD
2426005,12115,CSD
2426010,12115,CSD
2426015,12115,CSD
2426022,12115,CSD
2426030,12115,CSD
2426035,12115,CSD
2426040,12115,CSD
2426048,12115,CSD
2426055,12115,CSD
2426063,12115,CSD
2426070,12112,CSD
2437205,4122,CSD
2437210,4122,CSD
2437215,4122,CSD
2437220,4122,CSD
2437225,4122,CSD
2437230,4122,CSD
2437235,4141,CSD
2437240,4122,CSD
2437245,4122,CSD
2437250,4122,CSD
2446005,5111,CSD
2446010,5111,CSD
2446017,5111,CSD
2446025,5111,CSD
2446030,5111,CSD
2446035,5111,CSD
2446040,5111,CSD
2446045,5111,CSD
2446050,5111,CSD
2446058,5111,CSD
2446065,5111,CSD
2446070,5111,CSD
2446075,5111,CSD
2446078,5121,CSD
2446080,5111,CSD
2446085,5111,CSD
2446090,5111,CSD
2446095,5111,CSD
2446100,5111,CSD
2446105,5111,CSD
2446112,5111,CSD
2451008,4131,CSD
2451015,4131,CSD
2451020,4131,CSD
2451025,4131,CSD
2451030,4131,CSD
2451035,4131,CSD
2451040,4131,CSD
2451045,4131,CSD
2451050,4131,CSD
2451055,4131,CSD
2451060,4131,CSD
2451065,4131,CSD
2451070,4141,CSD
2451075,4141,CSD
2451080,4141,CSD
2451085,4141,CSD
2451090,4151,CSD
2455008,5111,CSD
2455015,5121,CSD
2455023,16121,CSD
2455030,16121,CSD
2455037,16121,CSD
2455048,16121,CSD
2455057,16121,CSD
2455065,16121,CSD
2456005,16122,CSD
2456010,16122,CSD
2456015,16122,CSD
2456023,16122,CSD
2456030,16122,CSD
2456035,16122,CSD
2456042,16122,CSD
2456050,16122,CSD
2456055,16122,CSD
2456060,16122,CSD
2456065,16122,CSD
2456083,16122,CSD
2456097,16122,CSD
2456105,5111,CSD
2457005,16121,CSD
2457010,16121,CSD
2457020,16221,CSD
2457025,16221,CSD
2457030,16221,CSD
2457033,16221,CSD
2457035,16221,CSD
2457040,16221,CSD
2457045,16221,CSD
2457050,16221,CSD
2457057,16221,CSD
2457068,16221,CSD
2457075,16221,CSD
2458007,16111,CSD
2458012,16111,CSD
2458033,16213,CSD
2458037,16221,CSD
2466007,6523,CSD
2466032,6225,CSD
2466047,6212,CSD
2466058,6211,CSD
2466062,6211,CSD
2466072,6222,CSD
2466087,6121,CSD
2466092,6121,CSD
2466097,6111,CSD
2466102,6111,CSD
2466107,6111,CSD
2466112,6111,CSD
2466117,6111,CSD
2466127,6111,CSD
2466142,6113,CSD
2467005,16342,CSD
2467010,16342,CSD
2467015,16342,CSD
2467020,16342,CSD
2467025,16342,CSD
2467030,16342,CSD
2467035,16342,CSD
2467040,16341,CSD
2467045,16341,CSD
2467050,16341,CSD
2467055,16341,CSD
2467802,16341,CSD
2470005,16341,CSD
2470012,16341,CSD
2470022,16321,CSD
2470030,16321,CSD
2470035,16321,CSD
2470040,16321,CSD
2470052,16321,CSD
2480005,7152,CSD
2480010,7152,CSD
2480015,7152,CSD
2480020,7152,CSD
2480027,7152,CSD
2480037,7152,CSD
2480045,7152,CSD
2480050,7151,CSD
2480055,7151,CSD
2480060,7151,CSD
2480065,7151,CSD
2480070,7152,CSD
2480078,7152,CSD
2480085,7151,CSD
2480090,7152,CSD
2480095,7152,CSD
2480103,7152,CSD
2480110,7152,CSD
2480115,7152,CSD
2480125,7152,CSD
2480130,7152,CSD
2480135,7152,CSD
2480140,7151,CSD
2480145,7151,CSD
2482005,7151,CSD
2482010,7151,CSD
2482020,7131,CSD
2482025,7131,CSD
2482030,7111,CSD
2482035,7131,CSD
2485005,8152,CSD
2485010,8152,CSD
2485015,8151,CSD
2485020,8151,CSD
2485025,8151,CSD
2485030,8151,CSD
2485037,8151,CSD
2485045,8151,CSD
2485050,8151,CSD
2485055,8151,CSD
2485060,8151,CSD
2485065,8151,CSD
2485070,8151,CSD
2485075,8151,CSD
2485080,8151,CSD
2485085,8151,CSD
2485090,8151,CSD
2485095,8151,CSD
2485100,8151,CSD
2485105,8151,CSD
2485802,8152,CSD
2485803,8151,CSD
2485804,8151,CSD
2485806,8151,CSD
2485905,8151,CSD
2485907,8151,CSD
2493005,2131,CSD
2493012,2131,CSD
2493020,2131,CSD
2493025,2131,CSD
2493030,2131,CSD
2493035,2131,CSD
2493042,2131,CSD
2493045,2131,CSD
2493055,2131,CSD
2493060,2131,CSD
2493065,2131,CSD
2493070,2131,CSD
2493075,2131,CSD
2493080,2121,CSD
2493902,2131,CSD
2493904,2131,CSD
2493906,2131,CSD
2493908,2131,CSD
2494205,2161,CSD
2494210,2161,CSD
2494215,2161,CSD
2494220,2161,CSD
2494225,2161,CSD
2494230,2151,CSD
2494235,2151,CSD
2494240,2151,CSD
2494245,2151,CSD
2494250,2141,CSD
2494255,2141,CSD
2494260,2141,CSD
2494265,2141,CSD
2494926,2161,CSD
2494928,2141,CSD
2494930,2151,CSD
2495005,9121,CSD
2495010,9121,CSD
2495018,9121,CSD
2495025,9121,CSD
2495032,9122,CSD
2495040,9122,CSD
2495045,9122,CSD
2495050,9122,CSD
2495802,9121,CSD
2495902,9122,CSD
2497022,9131,CSD
2497035,9111,CSD
2497040,9111,CSD
2497802,9141,CSD
2497804,9141,CSD
2497806,9171,CSD
2497808,9111,CSD
2497810,9111,CSD
2497902,9131,CSD
2497904,9131,CSD
2497906,9111,CSD
2497908,9111,CSD
2497912,9111,CSD
2497914,9111,CSD
2498005,9161,CSD
2498010,9161,CSD
2498012,9161,CSD
2498014,9161,CSD
2498015,9161,CSD
2498020,9151,CSD
2498025,9151,CSD
2498030,9151,CSD
2498035,9151,CSD
2498040,9151,CSD
2498045,9151,CSD
2498050,9151,CSD
2498055,9151,CSD
2498802,9161,CSD
2498804,9161,CSD
2498806,9151,CSD
2498808,9151,CSD
2498904,9151,CSD
2498912,9151,CSD
2499005,10013,CSD
2499010,18011,CSD
2499015,10012,CSD
2499020,10014,CSD
2499025,10014,CSD
2499030,18011,CSD
2499035,18011,CSD
2499040,18011,CSD
2499045,18011,CSD
2499050,18011,CSD
2499055,18011,CSD
2499060,10011,CSD
2499065,9171,CSD
2499070,18011,CSD
2499075,17011,CSD
2499080,17011,CSD
2499085,17011,CSD
2499090,17012,CSD
2499095,17012,CSD
2499100,17012,CSD
2499105,17012,CSD
2499110,17012,CSD
2499115,17012,CSD
2499120,17011,CSD
2499125,17011,CSD
2499130,17012,CSD
2499135,17011,CSD
2499140,17011,CSD
2499804,18011,CSD
2499806,18011,CSD
2499808,18011,CSD
2499810,18011,CSD
2499812,18011,CSD
2499814,18011,CSD
2499816,18011,CSD
2499818,18011,CSD
2499877,17011,CSD
2499878,17011,CSD
2499879,17011,CSD
2499883,17011,CSD
2499887,17011,CSD
2499888,17012,CSD
2499889,17012,CSD
2499890,17012,CSD
2499891,17012,CSD
2499892,17012,CSD
2499893,17012,CSD
2499894,17012,CSD
2499895,17011,CSD
2499902,17012,CSD
2499904,17011,CSD
4080001,2151,CT
4080002.01,2151,CT
4080002.02,2151,CT
4080003.01,2151,CT
4080003.02,2151,CT
4080004,2151,CT
4080005,2151,CT
4080006,2151,CT
4080007,2151,CT
4080008,2151,CT
4080100,2141,CT
4080101,2141,CT
4080102,2141,CT
4080103,2141,CT
4080104,2141,CT
4080105,2141,CT
4080106,2141,CT
4080107.02,2141,CT
4080107.03,2141,CT
4080107.04,2141,CT
4080108,2141,CT
4080109,2141,CT
4080110,2141,CT
4080111.04,2141,CT
4080120.01,2141,CT
4080120.04,2151,CT
4080120.05,2151,CT
4080130,2151,CT
4080131,2151,CT
4080132,2151,CT
4080133,2151,CT
4080140,2151,CT
4080150,2151,CT
4080160,2161,CT
4080161,2161,CT
4080162,2161,CT
4080163,2161,CT
4210001.01,3124,CT
4210001.02,3124,CT
4210002,3125,CT
4210003,3124,CT
4210004,3125,CT
4210005,3124,CT
4210006,3124,CT
4210007,3125,CT
4210008,3125,CT
4210009,3125,CT
4210010,3125,CT
4210011,3125,CT
4210012,3125,CT
4210013,3125,CT
4210014,3124,CT
4210015,3124,CT
4210016,3124,CT
4210017,3124,CT
4210018,3124,CT
4210019,3124,CT
4210020,3125,CT
4210021,3125,CT
4210022,3125,CT
4210023,3125,CT
4210024,3125,CT
4210025,3125,CT
4210026,3126,CT
4210027,3126,CT
4210028,3126,CT
4210029,3126,CT
4210030,3126,CT
4210031,3126,CT
4210033.01,3126,CT
4210033.02,3126,CT
4210034,3126,CT
4210035,3126,CT
4210036,3126,CT
4210037,3126,CT
4210038.01,3126,CT
4210038.02,3126,CT
4210039.02,3122,CT
4210040.01,3122,CT
4210040.03,3122,CT
4210041.02,3122,CT
4210041.03,3131,CT
4210041.04,3131,CT
4210041.05,3131,CT
4210041.06,3131,CT
4210041.07,3131,CT
4210041.08,3131,CT
4210100,3123,CT
4210101,3123,CT
4210102,3123,CT
4210103,3123,CT
4210110,3123,CT
4210111,3123,CT
4210112.01,3123,CT
4210112.02,3123,CT
4210113.01,3123,CT
4210113.02,3123,CT
4210114,3123,CT
4210115,3123,CT
4210116,3123,CT
4210117.01,3123,CT
4210117.02,3123,CT
4210118,3123,CT
4210119.02,3121,CT
4210119.04,3121,CT
4210120.01,3121,CT
4210120.02,3121,CT
4210120.03,3121,CT
4210160.01,3131,CT
4210160.03,3131,CT
4210160.05,3131,CT
4210170.03,3131,CT
4210170.04,3131,CT
4210170.05,3131,CT
4210170.06,3131,CT
4210170.07,3131,CT
4210210.01,3132,CT
4210210.02,3132,CT
4210220.01,3132,CT
4210220.02,3132,CT
4210230.01,3131,CT
4210230.02,3131,CT
4210240.02,3122,CT
4210260.01,3126,CT
4210260.02,3126,CT
4210260.03,3126,CT
4210270.03,3132,CT
4210270.04,3132,CT
4210271.01,3132,CT
4210271.02,3132,CT
4210272,3132,CT
4210273.01,3132,CT
4210273.02,3132,CT
4210273.03,3132,CT
4210273.04,3132,CT
4210280.01,3132,CT
4210280.02,3132,CT
4210280.03,3132,CT
4210290.01,3132,CT
4210290.03,3132,CT
4210290.04,3132,CT
4210300,3133,CT
4210310,3133,CT
4210311.01,3133,CT
4210311.02,3133,CT
4210320.01,3133,CT
4210320.02,3133,CT
4210320.03,3133,CT
4210320.04,3133,CT
4210320.05,3133,CT
4210320.07,3133,CT
4210320.08,3133,CT
4210330,3133,CT
4210340.01,3133,CT
4210340.02,3133,CT
4210340.03,3133,CT
4210360.01,3133,CT
4210360.02,3133,CT
4210800.01,12113,CT
4210800.02,12113,CT
4210801,12113,CT
4210802,12113,CT
4210810,12113,CT
4210811,12113,CT
4210812,12113,CT
4210820.01,12113,CT
4210820.03,12113,CT
4210825,12113,CT
4210830.01,12112,CT
4210830.02,12112,CT
4210835.03,12112,CT
4210835.04,12112,CT
4210835.05,12112,CT
4210835.06,12112,CT
4210835.07,12112,CT
4210840.01,12112,CT
4210840.02,12112,CT
4210845.03,12112,CT
4210845.04,12112,CT
4210845.06,12112,CT
4210846.02,12112,CT
4210846.03,12112,CT
4210846.04,12112,CT
4210850.02,12112,CT
4210850.03,12112,CT
4210850.04,12112,CT
4210850.05,12112,CT
4420001,4151,CT
4420002,4151,CT
4420003,4151,CT
4420004,4151,CT
4420005,4151,CT
4420006,4151,CT
4420007,4151,CT
4420008,4151,CT
4420009,4151,CT
4420010,4151,CT
4420011,4151,CT
4420012.01,4151,CT
4420012.02,4151,CT
4420013.01,4151,CT
4420013.02,4151,CT
4420013.03,4151,CT
4420100.01,4151,CT
4420100.02,4151,CT
4420101.02,4151,CT
4420101.03,4151,CT
4420101.04,4151,CT
4420102,4151,CT
4420200,4152,CT
4420201,4152,CT
4420202,4152,CT
4420203,4152,CT
4420204,4152,CT
4420205.01,4152,CT
4420205.02,4152,CT
4420205.03,4152,CT
4420210,4152,CT
4420211,4152,CT
4620001,6524,CT
4620002,6524,CT
4620003,6524,CT
4620004,6524,CT
4620005,6524,CT
4620006,6524,CT
4620007,6524,CT
4620008,6524,CT
4620009,6532,CT
4620010,6532,CT
4620011,6532,CT
4620012.01,6532,CT
4620012.02,6532,CT
4620013,6532,CT
4620014.01,6533,CT
