"","census_id","CLSC_code","census_type","CLSC_nom"
"1",2401,11211,"CD","Îles-de-la-Madeleine"
"2",2405,11112,"CD","Bonaventure"
"3",2406,11111,"CD","Avignon"
"4",2407,1181,"CD","La Matapédia"
"5",2408,1171,"CD","Matane"
"6",2409,1161,"CD","La Mitis"
"7",2410,1151,"CD","Rimouski-Neigette"
"8",2411,1141,"CD","Les Basques"
"9",2412,1121,"CD","Rivière-du-Loup"
"10",2413,1131,"CD","Témiscouata"
"11",2414,1111,"CD","Kamouraska"
"12",2415,3142,"CD","Charlevoix-Est"
"13",2416,3141,"CD","Charlevoix-Ouest"
"14",2417,12152,"CD","L'Islet"
"15",2418,12151,"CD","Montmagny"
"16",2419,12114,"CD","Bellechasse"
"17",2420,3134,"CD","Orléans"
"18",2421,3134,"CD","Orléans"
"19",2427,12131,"CD","Robert-Cliche"
"20",2428,12141,"CD","Des Etchemins"
"21",2429,12132,"CD","Beauce-Sartigan"
"22",2430,5191,"CD","Granit"
"23",2431,12121,"CD","Les Appalaches"
"24",2432,4182,"CD","De l'Érable"
"25",2433,12111,"CD","Lotbinière"
"26",2434,3111,"CD","Portneuf"
"27",2435,4121,"CD","Mékinac"
"28",2436,4141,"CD","Centre-de-la-Mauricie"
"29",2438,4162,"CD","Bécancour"
"30",2439,4181,"CD","Arthabaska"
"31",2440,5171,"CD","Asbestos"
"32",2441,5181,"CD","Haut-Saint-François"
"33",2442,5161,"CD","Val Saint-François"
"34",2443,5151,"CD","Sherbrooke"
"35",2444,5141,"CD","Coaticook"
"36",2445,5131,"CD","Memphrémagog"
"37",2447,5121,"CD","Granby-Shefford-Bromont"
"38",2448,16223,"CD","Acton"
"39",2449,4171,"CD","Drummond"
"40",2450,4161,"CD","Nicolet-Yamaska"
"41",2452,14114,"CD","D'Autray"
"42",2453,16231,"CD","Bas Richelieu"
"43",2454,16222,"CD","Les Maskoutains"
"44",2459,16213,"CD","Lajemmerais"
"45",2460,14122,"CD","L'Assomption"
"46",2461,14113,"CD","Joliette"
"47",2462,14111,"CD","Matawinie"
"48",2463,14112,"CD","Montcalm"
"49",2464,14121,"CD","Les Moulins"
"50",2468,16343,"CD","Les Jardins-de-Napierville"
"51",2469,16331,"CD","Haut-Saint-Laurent"
"52",2471,16311,"CD","Vaudreuil-Soulanges"
"53",2472,15151,"CD","Deux-Montagnes - Mirabel"
"54",2473,15171,"CD","Thérèse-De Blainville"
"55",2475,15161,"CD","La Rivière-du-Nord - Mirabel"
"56",2476,15141,"CD","Argenteuil"
"57",2477,15131,"CD","Les Pays-d'en-Haut"
"58",2478,15121,"CD","Les Laurentides"
"59",2479,15111,"CD","Antoine-Labelle"
"60",2483,7121,"CD","Des Forestiers"
"61",2484,7111,"CD","Pontiac"
"62",2486,8131,"CD","Rouyn-Noranda"
"63",2487,8111,"CD","Abitibi-Ouest"
"64",2488,8121,"CD","Abitibi"
"65",2489,8141,"CD","Vallée-de-l'Or"
"66",2490,4111,"CD","Haut-Saint-Maurice"
"67",2491,2111,"CD","Domaine-du-Roy"
"68",2492,2121,"CD","Maria-Chapdelaine"
"69",2496,9123,"CD","Manicouagan"
"70",2402010,11141,"CSD","Pabok"
"71",2402015,11141,"CSD","Pabok"
"72",2402028,11141,"CSD","Pabok"
"73",2402047,11141,"CSD","Pabok"
"74",2402902,11141,"CSD","Pabok"
"75",2403005,11132,"CSD","Gaspé"
"76",2403010,11131,"CSD","Grande-Vallée"
"77",2403015,11131,"CSD","Grande-Vallée"
"78",2403020,11131,"CSD","Grande-Vallée"
"79",2403025,11133,"CSD","Murdochville"
"80",2403902,11132,"CSD","Gaspé"
"81",2403904,11132,"CSD","Gaspé"
"82",2404005,11131,"CSD","Grande-Vallée"
"83",2404010,11121,"CSD","Denis-Riverin"
"84",2404015,11121,"CSD","Denis-Riverin"
"85",2404020,11121,"CSD","Denis-Riverin"
"86",2404025,11121,"CSD","Denis-Riverin"
"87",2404030,11121,"CSD","Denis-Riverin"
"88",2404037,11121,"CSD","Denis-Riverin"
"89",2404047,11121,"CSD","Denis-Riverin"
"90",2404902,11121,"CSD","Denis-Riverin"
"91",2404904,11121,"CSD","Denis-Riverin"
"92",2422005,3131,"CSD","Loretteville - Val-Bélair"
